Date,PnL Points,Lot Size,Pnl
02-01-2015,140.1769,25,3504.40
06-01-2015,382,25,9550.00
08-01-2015,-74.36,25,-1859.00
09-01-2015,-74.2566092,25,-1856.42
15-01-2015,-76.6148,25,-1915.37
20-01-2015,188.1421,25,4703.55
23-01-2015,-1.3,25,-32.50
27-01-2015,338.0472,25,8451.18
30-01-2015,255.7044,25,6392.61
03-02-2015,208.0668,25,5201.67
05-02-2015,-78.1192752,25,-1952.98
09-02-2015,69.6994,25,1742.49
10-02-2015,-75.7511572,25,-1893.78
12-02-2015,-75.4223304,25,-1885.56
19-02-2015,-76.803004,25,-1920.08
27-02-2015,-75.48,25,-1887.00
28-02-2015,235.4727,25,5886.82
04-03-2015,679.9,25,16997.50
09-03-2015,221.826,25,5545.65
13-03-2015,519.95,25,12998.75
19-03-2015,85.1821,25,2129.55
26-03-2015,306.4925,25,7662.31
27-03-2015,51.1258,25,1278.14
01-04-2015,35.3487,25,883.72
07-04-2015,-73.8101496,25,-1845.25
09-04-2015,245.4705,25,6136.76
15-04-2015,-76.181,25,-1904.53
17-04-2015,52.3984,25,1309.96
20-04-2015,23.3662,25,584.16
22-04-2015,-71.9302584,25,-1798.26
24-04-2015,-71.8461136,25,-1796.15
28-04-2015,-72.5564072,25,-1813.91
30-04-2015,-72.6238416,25,-1815.60
04-05-2015,-74.5846,25,-1864.61
06-05-2015,537.9515,25,13448.79
07-05-2015,-69.2054552,25,-1730.14
08-05-2015,-63.671,25,-1591.78
11-05-2015,91.1201,25,2278.00
12-05-2015,200.8771,25,5021.93
13-05-2015,-72.3815056,25,-1809.54
18-05-2015,85.163,25,2129.08
22-05-2015,-74.1996,25,-1854.99
27-05-2015,-74.08453,25,-1852.11
29-05-2015,52.3619,25,1309.05
02-06-2015,385.8178,25,9645.45
04-06-2015,-69.95344,25,-1748.84
10-06-2015,-70.8542708,25,-1771.36
11-06-2015,141.8342,25,3545.86
18-06-2015,-25.4573,25,-636.43
22-06-2015,77.7398,25,1943.49
25-06-2015,3.8029,25,95.07
26-06-2015,-73.0421836,25,-1826.05
29-06-2015,-71.3052,25,-1782.63
01-07-2015,33.3444,25,833.61
06-07-2015,-73.725,25,-1843.12
08-07-2015,-74.56,25,-1864.00
10-07-2015,30.184,25,754.60
13-07-2015,-8.8894,25,-222.24
16-07-2015,189.6298,25,4740.74
20-07-2015,-75.841252,25,-1896.03
21-07-2015,87.7942,25,2194.86
22-07-2015,-11.5842,25,-289.61
27-07-2015,202.2474,25,5056.19
30-07-2015,-73.8248764,25,-1845.62
31-07-2015,187.65,25,4691.25
01-09-2015,294.05,25,7351.25
04-09-2015,60.11,25,1502.75
08-09-2015,145.1851,25,3629.63
10-09-2015,-65.12,25,-1628.00
14-09-2015,60.0321,25,1500.80
16-09-2015,62.4585,25,1561.46
18-09-2015,110.2,25,2755.00
22-09-2015,221.3889,25,5534.72
28-09-2015,-69.696986,25,-1742.42
29-09-2015,-67.164,25,-1679.10
05-10-2015,222.091,25,5552.28
08-10-2015,-69.9852644,25,-1749.63
09-10-2015,-70.9888384,25,-1774.72
15-10-2015,-23.1462,25,-578.65
16-10-2015,31.9994,25,799.99
